section,item,value
overall,total_scenarios,800
overall,TP,328
overall,TN,400
overall,FP,0
overall,FN,72
overall,accuracy_percent,91.00
overall,precision_percent,100.00
overall,recall_percent,82.00
overall,f1_percent,90.11
scenario,accident_correct,328
scenario,accident_total,400
scenario,accident_accuracy_percent,82.00
scenario,recovered_drop_correct,100
scenario,recovered_drop_total,100
scenario,recovered_drop_accuracy_percent,100.00
scenario,freefall_only_correct,100
scenario,freefall_only_total,100
scenario,freefall_only_accuracy_percent,100.00
scenario,impact_only_correct,100
scenario,impact_only_total,100
scenario,impact_only_accuracy_percent,100.00
scenario,normal_motion_correct,100
scenario,normal_motion_total,100
scenario,normal_motion_accuracy_percent,100.00
